,source_node,paths,distances
0,0,"[[0, 11, 20], [0, 11, 21, 15], [0, 39, 3, 10]]","[3, 4, 4]"
1,1,"[[1, 57, 66, 3, 10], [1, 57, 66, 3, 63, 15], [1, 57, 92, 39, 93, 25]]","[5, 6, 6]"
2,2,"[[2, 48, 63, 15], [2, 33, 75, 25], [2, 35, 37, 10]]","[4, 4, 4]"
3,3,"[[3, 10], [3, 63, 15], [3, 39, 93, 25]]","[2, 3, 4]"
4,4,"[[4, 28, 5], [4, 28, 19, 20], [4, 35, 37, 10]]","[3, 4, 4]"
5,5,[5],0
6,6,"[[6, 18, 63, 15], [6, 32, 38, 27, 5], [6, 18, 41, 3, 10]]","[4, 5, 5]"
7,7,"[[7, 19, 20], [7, 37, 10], [7, 19, 28, 5]]","[3, 3, 4]"
8,8,"[[8, 64, 88, 10], [8, 97, 21, 15], [8, 64, 9, 28, 5]]","[4, 4, 5]"
9,9,"[[9, 28, 5], [9, 64, 88, 10], [9, 91, 13, 20]]","[3, 4, 4]"
10,10,[10],0
11,11,"[[11, 20], [11, 21, 15], [11, 21, 15, 25]]","[2, 3, 4]"
12,12,"[[12, 93, 25], [12, 93, 25, 15], [12, 93, 13, 20]]","[3, 4, 4]"
13,13,"[[13, 20], [13, 27, 5], [13, 93, 25]]","[2, 3, 3]"
14,14,"[[14, 47, 63, 15], [14, 83, 34, 13, 20], [14, 83, 34, 28, 5]]","[4, 5, 5]"
15,15,[15],0
16,16,"[[16, 66, 3, 10], [16, 32, 38, 27, 5], [16, 66, 3, 63, 15]]","[4, 5, 5]"
17,17,"[[17, 98, 22, 29, 5], [17, 98, 22, 48, 63, 15], [17, 98, 31, 91, 13, 20]]","[5, 6, 6]"
18,18,"[[18, 63, 15], [18, 41, 3, 10], [18, 63, 15, 25]]","[3, 4, 4]"
19,19,"[[19, 20], [19, 28, 5], [19, 7, 37, 10]]","[2, 3, 4]"
20,20,[20],0
21,21,"[[21, 15], [21, 11, 20], [21, 15, 25]]","[2, 3, 3]"
22,22,"[[22, 29, 5], [22, 48, 63, 15], [22, 48, 34, 13, 20]]","[3, 4, 5]"
23,23,"[[23, 19, 20], [23, 19, 28, 5], [23, 19, 7, 37, 10]]","[3, 4, 5]"
24,24,"[[24, 0, 11, 20], [24, 0, 11, 21, 15], [24, 0, 39, 3, 10]]","[4, 5, 5]"
25,25,[25],0
26,26,"[[26, 67, 73, 13, 20], [26, 80, 50, 28, 5], [26, 92, 39, 3, 10]]","[5, 5, 5]"
27,27,"[[27, 5], [27, 13, 20], [27, 13, 93, 25]]","[2, 3, 4]"
28,28,"[[28, 5], [28, 19, 20], [28, 34, 13, 93, 25]]","[2, 3, 5]"
29,29,"[[29, 5], [29, 27, 13, 20], [29, 27, 13, 93, 25]]","[2, 4, 5]"
30,30,"[[30, 40, 55, 60, 5], [30, 42, 33, 75, 25], [30, 92, 39, 3, 10]]","[5, 5, 5]"
31,31,"[[31, 38, 27, 5], [31, 91, 13, 20], [31, 43, 97, 21, 15]]","[4, 4, 5]"
32,32,"[[32, 38, 27, 5], [32, 38, 27, 13, 20], [32, 6, 18, 63, 15]]","[4, 5, 5]"
33,33,"[[33, 75, 25], [33, 75, 25, 15], [33, 2, 35, 37, 10]]","[3, 4, 5]"
34,34,"[[34, 13, 20], [34, 28, 5], [34, 13, 93, 25]]","[3, 3, 4]"
