,source_node,path,distance
37,0,"[0, 82, 89, 25]",4
47,2,"[2, 29, 30, 24, 90, 5]",6
36,3,"[3, 55, 77, 20]",4
8,4,"[4, 8, 15]",3
7,9,"[9, 81, 10]",3
31,11,"[11, 40, 81, 10]",4
11,14,"[14, 70, 20]",3
46,17,"[17, 68, 46, 12, 90, 5]",6
45,21,"[21, 97, 72, 1, 25]",5
19,23,"[23, 32, 90, 5]",4
6,26,"[26, 76, 10]",3
17,27,"[27, 24, 90, 5]",4
13,28,"[28, 89, 25]",3
5,31,"[31, 22, 10]",3
4,35,"[35, 16, 10]",3
30,36,"[36, 80, 81, 10]",4
28,39,"[39, 19, 76, 10]",4
21,41,"[41, 33, 16, 10]",4
3,42,"[42, 90, 5]",3
24,43,"[43, 73, 22, 10]",4
12,44,"[44, 77, 20]",3
2,47,"[47, 34, 5]",3
40,48,"[48, 67, 93, 34, 5]",5
39,49,"[49, 59, 93, 34, 5]",5
22,51,"[51, 98, 16, 10]",4
18,53,"[53, 24, 90, 5]",4
16,54,"[54, 99, 34, 5]",4
15,57,"[57, 93, 34, 5]",4
41,58,"[58, 6, 98, 16, 10]",5
26,60,"[60, 86, 22, 10]",4
33,61,"[61, 7, 50, 15]",4
9,62,"[62, 8, 15]",3
20,63,"[63, 32, 90, 5]",4
0,64,"[64, 20]",2
10,65,"[65, 85, 15]",3
38,66,"[66, 37, 93, 34, 5]",5
34,69,"[69, 92, 56, 20]",4
27,71,"[71, 45, 38, 10]",4
32,74,"[74, 96, 8, 15]",4
29,75,"[75, 19, 76, 10]",4
23,79,"[79, 18, 22, 10]",4
1,83,"[83, 34, 5]",3
44,84,"[84, 13, 45, 38, 10]",5
35,87,"[87, 92, 56, 20]",4
14,88,"[88, 89, 25]",3
42,91,"[91, 6, 98, 16, 10]",5
25,94,"[94, 52, 22, 10]",4
43,95,"[95, 78, 52, 22, 10]",5
