,source_node,path,distance
0,0,"[0, 155, 1, 5]",4
1,0,"[0, 46, 194, 287, 10]",5
2,0,"[0, 155, 1, 117, 40, 25]",6
3,1,"[1, 5]",2
4,1,"[1, 117, 40, 25]",4
5,1,"[1, 117, 40, 115, 15]",5
6,2,"[2, 190, 277, 176, 258, 264, 236, 155, 1, 5]",10
7,2,"[2, 190, 277, 176, 258, 264, 198, 146, 104, 74, 15]",11
8,2,"[2, 190, 277, 176, 258, 223, 24, 241, 14, 81, 25]",11
9,3,"[3, 71, 46, 194, 287, 10]",6
10,3,"[3, 71, 46, 0, 155, 1, 5]",7
11,3,"[3, 216, 264, 198, 146, 104, 74, 15]",8
12,4,"[4, 269, 202, 282, 289, 206, 81, 25]",8
13,4,"[4, 269, 134, 54, 264, 236, 155, 1, 5]",9
14,4,"[4, 269, 134, 54, 264, 198, 146, 104, 74, 15]",10
15,5,[5],1
16,5,"[5, 1, 117, 40, 25]",5
17,5,"[5, 1, 117, 40, 115, 15]",6
18,6,"[6, 126, 246, 104, 74, 15]",6
19,6,"[6, 126, 163, 76, 81, 25]",6
20,6,"[6, 126, 246, 104, 146, 8, 117, 1, 5]",9
21,7,"[7, 150, 134, 54, 264, 236, 155, 1, 5]",9
22,7,"[7, 150, 134, 54, 264, 198, 146, 104, 74, 15]",10
23,7,"[7, 150, 134, 54, 264, 236, 280, 76, 81, 25]",10
24,8,"[8, 117, 1, 5]",4
25,8,"[8, 117, 40, 25]",4
26,8,"[8, 146, 104, 74, 15]",5
27,9,"[9, 63, 92, 91, 201, 65, 34, 276, 184, 243, 8, 117, 1, 5]",14
28,9,"[9, 63, 92, 91, 201, 84, 41, 114, 106, 272, 246, 104, 74, 15]",14
29,9,"[9, 63, 92, 91, 201, 65, 34, 276, 184, 243, 8, 117, 40, 25]",14
30,10,[10],1
31,10,"[10, 287, 194, 46, 0, 155, 1, 5]",8
32,10,"[10, 287, 194, 46, 0, 155, 1, 117, 40, 25]",10
33,11,"[11, 87, 232, 3, 71, 46, 194, 287, 10]",9
34,11,"[11, 87, 232, 3, 71, 46, 0, 155, 1, 5]",10
35,11,"[11, 87, 232, 3, 216, 264, 198, 146, 104, 74, 15]",11
36,12,"[12, 260, 14, 81, 25]",5
37,12,"[12, 260, 14, 81, 25, 40, 115, 15]",8
38,12,"[12, 260, 14, 81, 25, 40, 117, 1, 5]",9
39,13,"[13, 138, 269, 202, 282, 289, 206, 81, 25]",9
