,source_node,path,distance
0,0,"[0, 218, 556, 632, 290]",5
1,0,"[0, 38, 370, 714, 95]",5
2,0,"[0, 719, 772, 211, 952, 891]",6
3,0,"[0, 790, 15, 954, 735, 754]",6
4,0,"[0, 719, 772, 498, 540, 699]",6
5,0,"[0, 38, 347, 788, 974, 154, 200]",7
6,0,"[0, 719, 959, 429, 635, 162, 522]",7
7,0,"[0, 790, 262, 942, 712, 627, 716]",7
8,0,"[0, 719, 959, 878, 748, 771, 780]",7
9,0,"[0, 790, 15, 314, 362, 580, 335]",7
10,1,"[1, 329, 154, 200]",4
11,1,"[1, 877, 807, 95]",4
12,1,"[1, 141, 935, 833, 754]",5
13,1,"[1, 141, 935, 966, 699]",5
14,1,"[1, 141, 528, 102, 581, 891]",6
15,1,"[1, 877, 247, 996, 447, 716]",6
16,1,"[1, 141, 528, 362, 580, 335]",6
17,1,"[1, 156, 379, 653, 455, 462, 290]",7
18,1,"[1, 329, 154, 974, 722, 162, 522]",7
19,1,"[1, 141, 528, 480, 83, 268, 605]",7
20,2,"[2, 581, 891]",3
21,2,"[2, 581, 891, 40, 119, 290]",6
22,2,"[2, 116, 299, 295, 834, 200]",6
23,2,"[2, 846, 793, 74, 627, 716]",6
24,2,"[2, 116, 299, 748, 771, 780]",6
25,2,"[2, 116, 844, 178, 20, 754]",6
26,2,"[2, 116, 256, 433, 855, 699]",6
27,2,"[2, 846, 585, 786, 742, 95]",6
28,2,"[2, 116, 256, 346, 366, 162, 522]",7
29,2,"[2, 116, 256, 346, 196, 727, 335]",7
30,3,"[3, 479, 481, 952, 891]",5
31,3,"[3, 192, 726, 920, 95]",5
32,3,"[3, 501, 866, 276, 632, 290]",6
33,3,"[3, 192, 122, 74, 627, 716]",6
34,3,"[3, 192, 701, 983, 771, 780]",6
35,3,"[3, 501, 415, 720, 71, 754]",6
36,3,"[3, 192, 256, 433, 855, 699]",6
37,3,"[3, 212, 325, 189, 170, 834, 200]",7
38,3,"[3, 192, 256, 346, 366, 162, 522]",7
39,3,"[3, 192, 122, 890, 196, 727, 335]",7
40,4,"[4, 680, 313, 40, 891]",5
41,4,"[4, 874, 886, 771, 780]",5
42,4,"[4, 680, 313, 40, 119, 290]",6
43,4,"[4, 680, 709, 52, 56, 754]",6
44,4,"[4, 680, 709, 441, 170, 834, 200]",7
45,4,"[4, 874, 613, 539, 423, 162, 522]",7
46,4,"[4, 680, 313, 718, 525, 921, 716]",7
47,4,"[4, 874, 613, 808, 196, 727, 335]",7
48,4,"[4, 680, 709, 52, 230, 73, 605]",7
49,4,"[4, 680, 709, 202, 110, 725, 95]",7
50,5,"[5, 708, 268, 605]",4
51,5,"[5, 860, 446, 40, 891]",5
52,5,"[5, 708, 638, 540, 699]",5
53,5,"[5, 813, 982, 835, 95]",5
54,5,"[5, 860, 446, 40, 119, 290]",6
55,5,"[5, 860, 482, 974, 154, 200]",6
56,5,"[5, 763, 310, 233, 627, 716]",6
57,5,"[5, 984, 798, 954, 735, 754]",6
58,5,"[5, 860, 482, 974, 722, 162, 522]",7
59,5,"[5, 860, 482, 725, 110, 771, 780]",7
60,6,"[6, 943, 713, 290]",4
61,6,"[6, 313, 40, 891]",4
62,6,"[6, 943, 834, 200]",4
63,6,"[6, 943, 834, 694, 699]",5
64,6,"[6, 943, 473, 835, 95]",5
65,6,"[6, 763, 310, 233, 627, 716]",6
66,6,"[6, 943, 473, 373, 727, 335]",6
67,6,"[6, 308, 578, 935, 833, 754]",6
68,6,"[6, 763, 5, 708, 268, 605]",6
69,6,"[6, 308, 578, 8, 366, 162, 522]",7
70,7,"[7, 966, 699]",3
